"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3,966095834E-2;-1,224537659E1;-4,251370239E1;-1,134439087E1;4,567339864E1
4,970295835E-2;-1,231840515E1;-4,254917908E1;-1,157067871E1;4,578270800E1
5,974395832E-2;-1,233438110E1;-4,238106537E1;-1,156930542E1;4,563047761E1
6,978595833E-2;-1,273710632E1;-4,234704590E1;-1,175393677E1;4,575654274E1
7,982795834E-2;-1,283439636E1;-4,235601044E1;-1,167855835E1;4,577272196E1
8,986995835E-2;-1,288227844E1;-4,234788513E1;-1,168051147E1;4,577915269E1
9,991095832E-2;-1,288545227E1;-4,253240204E1;-1,172912598E1;4,596316459E1
1,099529583E-1;-1,306130981E1;-4,241197968E1;-1,176480103E1;4,591061290E1
1,199949583E-1;-1,307812500E1;-4,203725433E1;-1,170846558E1;4,555498075E1
1,300369583E-1;-1,311480713E1;-4,222705841E1;-1,224716187E1;4,588153879E1
1,400779583E-1;-1,315280151E1;-4,237189484E1;-1,189990234E1;4,593453315E1
1,501199583E-1;-1,315527344E1;-4,250326538E1;-1,176126099E1;4,602082189E1
1,601619583E-1;-1,340023804E1;-4,228440857E1;-1,164990234E1;4,586128882E1
1,702039583E-1;-1,389054871E1;-4,247026825E1;-1,148229980E1;4,613582380E1
1,802459583E-1;-1,391032410E1;-4,230972290E1;-1,188363647E1;4,609588468E1
1,902869583E-1;-1,392573547E1;-4,232817078E1;-1,201458740E1;4,615138633E1
2,003289583E-1;-1,376811218E1;-4,221292877E1;-1,176101685E1;4,593270932E1
2,103709583E-1;-1,400224304E1;-4,203279877E1;-1,153616333E1;4,578102278E1
2,204129583E-1;-1,404733276E1;-4,200757599E1;-1,164880371E1;4,580020334E1
2,304539583E-1;-1,445214844E1;-4,212078094E1;-1,180761719E1;4,606999680E1
2,404959583E-1;-1,454267883E1;-4,204264069E1;-1,170678711E1;4,600132615E1
2,505379583E-1;-1,474314880E1;-4,206051636E1;-1,142782593E1;4,601133206E1
2,605799583E-1;-1,461653137E1;-4,174470520E1;-1,177023315E1;4,576900469E1
2,706219583E-1;-1,504884338E1;-4,166695404E1;-1,126577759E1;4,571127313E1
2,806629583E-1;-1,490261841E1;-4,178623962E1;-1,094799805E1;4,569503823E1
2,907049583E-1;-1,532283020E1;-4,202626038E1;-1,138006592E1;4,615735680E1
3,007469583E-1;-1,550070190E1;-4,196642303E1;-1,123907471E1;4,612774894E1
3,107889583E-1;-1,543513489E1;-4,193229675E1;-1,069961548E1;4,594608440E1
3,208309583E-1;-1,562814331E1;-4,180931854E1;-1,070352173E1;4,590014551E1
3,308719583E-1;-1,570939636E1;-4,200992584E1;-1,043380737E1;4,604870617E1
3,409139583E-1;-1,579277039E1;-4,176177979E1;-1,081958008E1;4,594040880E1
3,509559583E-1;-1,615373230E1;-4,168334961E1;-1,053649902E1;4,592888539E1
3,609979583E-1;-1,601684570E1;-4,200037384E1;-1,063931274E1;4,619270207E1
3,710389583E-1;-1,645840454E1;-4,180319214E1;-1,041735840E1;4,611840532E1
3,810809583E-1;-1,654223633E1;-4,185604095E1;-1,087020874E1;4,630048796E1
3,911229583E-1;-1,658114624E1;-4,175606537E1;-1,034396362E1;4,610315596E1
4,011649583E-1;-1,666610718E1;-4,176834106E1;-1,065835571E1;4,621638227E1
4,112069583E-1;-1,665014648E1;-4,166864777E1;-1,031552124E1;4,604251908E1
4,212479583E-1;-1,668751526E1;-4,159126282E1;-1,022756958E1;4,596639520E1
4,312899583E-1;-1,676986694E1;-4,158274841E1;-1,040310669E1;4,602801355E1
4,413319583E-1;-1,668948364E1;-4,156959534E1;-1,012612915E1;4,592503252E1
4,513739583E-1;-1,659996033E1;-4,139182281E1;-9,996124268E0;4,570299967E1
4,614149583E-1;-1,674539185E1;-4,159072876E1;-1,018405151E1;4,597729627E1
4,714569583E-1;-1,685501099E1;-4,163389587E1;-1,003125000E1;4,602280584E1
4,814989583E-1;-1,669671631E1;-4,179212189E1;-1,026196289E1;4,615917752E1
4,915409583E-1;-1,693296814E1;-4,130593109E1;-1,010748291E1;4,577189710E1
5,015829583E-1;-1,695881653E1;-4,149887848E1;-9,675567627E0;4,586256624E1
5,116239583E-1;-1,701693726E1;-4,183329773E1;-9,694335938E0;4,619070363E1
5,216659583E-1;-1,701557922E1;-4,170648956E1;-9,883605957E0;4,611558169E1
5,317079583E-1;-1,712086487E1;-4,161888123E1;-9,944915771E0;4,608857383E1
5,417499583E-1;-1,698974609E1;-4,150702667E1;-9,851318359E0;4,591876750E1
5,517919583E-1;-1,710020447E1;-4,157170105E1;-9,711822510E0;4,598850745E1
5,618329583E-1;-1,698199463E1;-4,154266357E1;-9,798461914E0;4,593681415E1
5,718749583E-1;-1,702101135E1;-4,144859314E1;-9,393951416E0;4,578151400E1
5,819169583E-1;-1,697314453E1;-4,180324554E1;-9,749542236E0;4,615899205E1
5,919589583E-1;-1,699021912E1;-4,186789703E1;-9,944915771E0;4,626542659E1
6,019999583E-1;-1,673480225E1;-4,161161804E1;-9,617614746E0;4,587023954E1
6,120419583E-1;-1,706669617E1;-4,168622589E1;-9,881683350E0;4,611573715E1
6,220839583E-1;-1,697270203E1;-4,158461761E1;-9,534698486E0;4,591583073E1
6,321259583E-1;-1,699565125E1;-4,152031708E1;-9,627777100E0;4,588554220E1
6,421679583E-1;-1,683918762E1;-4,172818756E1;-9,647155762E0;4,602029434E1
6,522089583E-1;-1,714506531E1;-4,164978790E1;-9,820556641E0;4,609882243E1
6,622509583E-1;-1,695361328E1;-4,166365814E1;-9,495910645E0;4,597235835E1
6,722929583E-1;-1,693495178E1;-4,161141205E1;-9,315216064E0;4,588110128E1
6,823349583E-1;-1,691180420E1;-4,177438354E1;-9,509826660E0;4,606023279E1
6,923769583E-1;-1,684446716E1;-4,197746277E1;-9,719940186E0;4,626360007E1
7,024179583E-1;-1,641183472E1;-4,191157532E1;-9,490478516E0;4,599997442E1
7,124599583E-1;-1,665252686E1;-4,205889130E1;-9,418701172E0;4,620572388E1
7,225019583E-1;-1,649670410E1;-4,189147949E1;-9,604217529E0;4,603561985E1
7,325439583E-1;-1,687805176E1;-4,192360687E1;-9,522644043E0;4,618590904E1
7,425859583E-1;-1,670330811E1;-4,207360077E1;-9,268127441E0;4,620699698E1
7,526269583E-1;-1,673794556E1;-4,206694031E1;-9,021270752E0;4,616459265E1
7,626689583E-1;-1,660836792E1;-4,201696777E1;-9,047607422E0;4,607735524E1
7,727109583E-1;-1,654620361E1;-4,181756592E1;-8,915405273E0;4,584724773E1
7,827529583E-1;-1,634709167E1;-4,204663086E1;-9,254119873E0;4,605198484E1
7,927939583E-1;-1,635038757E1;-4,196154022E1;-9,305084229E0;4,598576545E1
8,028359583E-1;-1,633049011E1;-4,210462189E1;-9,067657471E0;4,606198545E1
8,128779583E-1;-1,676850891E1;-4,182115173E1;-8,850921631E0;4,591873732E1
8,229199583E-1;-1,642321777E1;-4,181980896E1;-8,884796143E0;4,579910595E1
8,329628750E-1;-1,649177551E1;-4,195022583E1;-9,039947510E0;4,597304382E1
8,430038750E-1;-1,611267090E1;-4,192019653E1;-9,417694092E0;4,588696986E1
8,530458750E-1;-1,643148804E1;-4,182285309E1;-8,750457764E0;4,577898372E1
8,630878750E-1;-1,619918823E1;-4,188269043E1;-9,146392822E0;4,582826594E1
8,731298750E-1;-1,637628174E1;-4,193441010E1;-8,976165771E0;4,590478086E1
8,831718750E-1;-1,641645813E1;-4,226555634E1;-9,227447510E0;4,627119123E1
8,932128750E-1;-1,628079224E1;-4,210490417E1;-9,116943359E0;4,605437881E1
9,032548750E-1;-1,617610168E1;-4,208653259E1;-8,892761230E0;4,595675896E1
9,132968750E-1;-1,642832947E1;-4,234822083E1;-8,732788086E0;4,625498248E1
9,233388750E-1;-1,635334778E1;-4,228109741E1;-8,816497803E0;4,618283031E1
9,333808750E-1;-1,652230835E1;-4,236731720E1;-8,556549072E0;4,627300262E1
9,434218750E-1;-1,627874756E1;-4,209040833E1;-8,733001709E0;4,596591578E1
9,534638750E-1;-1,639906311E1;-4,212284088E1;-8,594696045E0;4,601230047E1
9,635058750E-1;-1,634768677E1;-4,236573029E1;-9,247009277E0;4,634230406E1
9,735478750E-1;-1,652336121E1;-4,214895630E1;-8,971435547E0;4,615238497E1
9,835888750E-1;-1,645932007E1;-4,215412903E1;-9,241577148E0;4,618751519E1
9,936308750E-1;-1,677388000E1;-4,210719299E1;-9,348785400E0;4,627935329E1
1,003672875E0;-1,649830627E1;-4,222469330E1;-9,359344482E0;4,628948221E1
1,013714875E0;-1,639593506E1;-4,210203552E1;-8,939819336E0;4,605788153E1
1,023756875E0;-1,631111145E1;-4,220127106E1;-8,956176758E0;4,612171655E1
1,033797875E0;-1,623287964E1;-4,211463928E1;-8,817138672E0;4,598794579E1
1,043839875E0;-1,609693909E1;-4,202927399E1;-8,924682617E0;4,588269041E1
1,053881875E0;-1,629980469E1;-4,218771362E1;-8,485931396E0;4,601627805E1
1,063923875E0;-1,608666992E1;-4,218685150E1;-8,674743652E0;4,597567364E1
1,073965875E0;-1,633856201E1;-4,209896088E1;-8,856689453E0;4,601860562E1
1,084006875E0;-1,628276062E1;-4,228626251E1;-8,806976318E0;4,616079638E1
1,094048875E0;-1,648272705E1;-4,225335693E1;-8,764343262E0;4,619350794E1
1,104090875E0;-1,641262817E1;-4,213638306E1;-8,670166016E0;4,604368490E1
1,114132875E0;-1,646769714E1;-4,209177399E1;-8,982971191E0;4,608249405E1
1,124174875E0;-1,618110657E1;-4,202623749E1;-9,158843994E0;4,595560108E1
1,134215875E0;-1,626937866E1;-4,219379425E1;-8,248687744E0;4,596792148E1
1,144257875E0;-1,635546875E1;-4,233159637E1;-8,783905029E0;4,622361298E1
1,154299875E0;-1,616210938E1;-4,205902100E1;-8,911743164E0;4,593031888E1
1,164341875E0;-1,618041992E1;-4,230610657E1;-8,866638184E0;4,615441381E1
1,174383875E0;-1,600389099E1;-4,206241608E1;-8,513580322E0;4,580231897E1
1,184424875E0;-1,593957520E1;-4,208284760E1;-8,587066650E0;4,581237641E1
1,194466875E0;-1,625488281E1;-4,247219086E1;-8,557922363E0;4,627468257E1
1,204508875E0;-1,572964478E1;-4,202008820E1;-8,979888916E0;4,575749055E1
1,214550875E0;-1,598970032E1;-4,244146729E1;-8,967742920E0;4,623168907E1
1,224592875E0;-1,584611511E1;-4,239714050E1;-9,029083252E0;4,615345308E1
1,234633875E0;-1,600691223E1;-4,225895691E1;-8,562957764E0;4,599309648E1
1,244675875E0;-1,613862610E1;-4,237571716E1;-9,271636963E0;4,628304127E1
1,254717875E0;-1,621083069E1;-4,227047729E1;-9,074981689E0;4,617293119E1
1,264759875E0;-1,593785095E1;-4,239492798E1;-9,238922119E0;4,622448154E1
1,274801875E0;-1,593742371E1;-4,219149017E1;-8,741271973E0;4,594053932E1
1,284842875E0;-1,604722595E1;-4,227317047E1;-9,424468994E0;4,618825628E1
1,294884875E0;-1,612281799E1;-4,238795471E1;-8,969299316E0;4,622912821E1
1,304926875E0;-1,596772766E1;-4,227612305E1;-9,066284180E0;4,609160895E1
1,314968875E0;-1,581404114E1;-4,232310486E1;-8,875640869E0;4,604460992E1
1,325010875E0;-1,574752808E1;-4,230833435E1;-8,763885498E0;4,598679686E1
1,335051875E0;-1,600497437E1;-4,239399719E1;-8,634735107E0;4,612991278E1
1,345093875E0;-1,577961731E1;-4,231977844E1;-8,668975830E0;4,599033716E1
1,355135875E0;-1,593597412E1;-4,243869019E1;-8,456176758E0;4,611403931E1
1,365177875E0;-1,583502197E1;-4,250441742E1;-8,591461182E0;4,616477690E1
1,375218875E0;-1,600093079E1;-4,226995087E1;-8,484191895E0;4,598652025E1
1,385260875E0;-1,604647827E1;-4,225026703E1;-8,802947998E0;4,604417903E1
1,395302875E0;-1,612025452E1;-4,222207642E1;-8,757659912E0;4,603545318E1
1,405344875E0;-1,610513306E1;-4,239628601E1;-8,983215332E0;4,623330548E1
1,415386875E0;-1,588861084E1;-4,215119934E1;-8,687988281E0;4,587649399E1
1,425427875E0;-1,572908020E1;-4,213175964E1;-8,642272949E0;4,579495623E1
1,435469875E0;-1,606060791E1;-4,215370178E1;-8,844573975E0;4,596851302E1
1,445511875E0;-1,604899597E1;-4,239652252E1;-8,593383789E0;4,613980536E1
1,455553875E0;-1,604121399E1;-4,229460907E1;-8,486450195E0;4,602362806E1
1,465595875E0;-1,586131287E1;-4,236824036E1;-8,739837646E0;4,607639090E1
1,475636875E0;-1,637965393E1;-4,227681732E1;-8,454742432E0;4,612054873E1
1,485678875E0;-1,615837097E1;-4,229937744E1;-8,680877686E0;4,610518324E1
1,495720875E0;-1,604177856E1;-4,235668945E1;-8,664001465E0;4,611391029E1
1,505762875E0;-1,599290466E1;-4,227330017E1;-8,772766113E0;4,604092019E1
1,515804875E0;-1,582527161E1;-4,251255035E1;-8,480712891E0;4,614844147E1
1,525846875E0;-1,591275024E1;-4,245719147E1;-8,800964355E0;4,618750590E1
1,535887875E0;-1,581507874E1;-4,227294922E1;-8,520385742E0;4,593164404E1
1,545929875E0;-1,581181335E1;-4,208697510E1;-8,906707764E0;4,583291784E1
1,555971875E0;-1,606250000E1;-4,236179352E1;-8,577972412E0;4,610972855E1
1,566013875E0;-1,567124939E1;-4,230934906E1;-8,608856201E0;4,593235766E1
1,576055875E0;-1,561196899E1;-4,233166504E1;-8,433776855E0;4,590024001E1
1,586096875E0;-1,553706360E1;-4,241882324E1;-8,284667969E0;4,592812465E1
1,596138875E0;-1,573010254E1;-4,251450348E1;-8,493865967E0;4,612011374E1
1,606180875E0;-1,539997864E1;-4,247042084E1;-8,449157715E0;4,595959371E1
1,616222875E0;-1,563912964E1;-4,253630829E1;-8,516571045E0;4,611346746E1
1,626263875E0;-1,537329102E1;-4,253690338E1;-8,205322266E0;4,596796210E1
1,636305875E0;-1,530618286E1;-4,248494720E1;-8,330993652E0;4,592009830E1
1,646347875E0;-1,548086548E1;-4,245326233E1;-8,516296387E0;4,598330113E1
1,656389875E0;-1,583927917E1;-4,255373383E1;-8,291412354E0;4,615680390E1
1,666431875E0;-1,578999329E1;-4,268525696E1;-8,504821777E0;4,629996807E1
1,676472875E0;-1,555877686E1;-4,260871887E1;-8,285583496E0;4,611105459E1
1,686514875E0;-1,564051819E1;-4,262505341E1;-8,260528564E0;4,614929381E1
1,696556875E0;-1,581950378E1;-4,281973267E1;-8,162963867E0;4,637262322E1
1,706598875E0;-1,564704895E1;-4,252623749E1;-8,284423828E0;4,606454921E1
1,716640875E0;-1,557434082E1;-4,253015137E1;-8,549804688E0;4,609200611E1
1,726682875E0;-1,572517395E1;-4,267375183E1;-8,590881348E0;4,628318737E1
1,736723875E0;-1,601844788E1;-4,246618652E1;-9,035278320E0;4,627746670E1
1,746765875E0;-1,607369995E1;-4,254509735E1;-9,161071777E0;4,639368895E1
1,756807875E0;-1,615373230E1;-4,254492188E1;-8,755401611E0;4,634296605E1
1,766849875E0;-1,605809021E1;-4,251382446E1;-9,001953125E0;4,632842207E1
1,776890875E0;-1,610275269E1;-4,222712708E1;-9,255828857E0;4,613132637E1
1,786932875E0;-1,605242920E1;-4,201628876E1;-9,010559082E0;4,587198687E1
1,796974875E0;-1,634164429E1;-4,214945984E1;-9,304107666E0;4,615401090E1
1,807016875E0;-1,624235535E1;-4,183534241E1;-9,265319824E0;4,582418720E1
1,817058875E0;-1,651557922E1;-4,198612213E1;-9,248596191E0;4,605578509E1
1,827100875E0;-1,643923950E1;-4,204190063E1;-9,320587158E0;4,609385370E1
1,837147458E0;-1,674360657E1;-4,183497620E1;-9,314880371E0;4,601391736E1
1,847189458E0;-1,646951294E1;-4,193148804E1;-9,426666260E0;4,602560790E1
1,857231458E0;-1,651892090E1;-4,184541321E1;-9,248962402E0;4,592882167E1
1,867273458E0;-1,629318237E1;-4,189091492E1;-9,334442139E0;4,590695323E1
1,877315458E0;-1,642938232E1;-4,170452881E1;-9,175048828E0;4,575340258E1
1,887356458E0;-1,660522461E1;-4,176907349E1;-9,533172607E0;4,594856216E1
1,897398458E0;-1,639608765E1;-4,165784454E1;-9,645507812E0;4,579567144E1
1,907440458E0;-1,638201904E1;-4,146830750E1;-9,399383545E0;4,556686829E1
1,917482458E0;-1,652972412E1;-4,210112000E1;-1,018212891E1;4,636174968E1
1,927524458E0;-1,648849487E1;-4,187986755E1;-1,008911133E1;4,612574050E1
1,937565458E0;-1,666677856E1;-4,208018494E1;-9,690185547E0;4,628631729E1
1,947607458E0;-1,645008850E1;-4,216456604E1;-9,425781250E0;4,623095709E1
1,957649458E0;-1,643855286E1;-4,224517059E1;-9,352264404E0;4,628547621E1
1,967691458E0;-1,643309021E1;-4,239585876E1;-9,803222656E0;4,651406743E1
1,977733458E0;-1,636909485E1;-4,219245148E1;-9,533477783E0;4,624972893E1
1,987774458E0;-1,634246826E1;-4,200292206E1;-9,494812012E0;4,605945273E1
1,997816458E0;-1,605636597E1;-4,199221802E1;-9,471313477E0;4,594408603E1
2,007858458E0;-1,601702881E1;-4,221318054E1;-9,527038574E0;4,614393012E1
2,017900458E0;-1,645167542E1;-4,218995667E1;-9,476074219E0;4,626495488E1
2,027942458E0;-1,632514954E1;-4,211294556E1;-9,467071533E0;4,614798083E1
2,037983458E0;-1,618060303E1;-4,187332916E1;-9,452850342E0;4,587530914E1
2,048025458E0;-1,622915649E1;-4,208319855E1;-9,553680420E0;4,610481461E1
2,058067458E0;-1,617356873E1;-4,207180023E1;-9,549163818E0;4,607393221E1
2,068109458E0;-1,621635437E1;-4,191659546E1;-9,476104736E0;4,593220749E1
2,078151458E0;-1,632157898E1;-4,199473572E1;-9,573486328E0;4,606086635E1
2,088192458E0;-1,640843201E1;-4,190749359E1;-9,519378662E0;4,600101336E1
2,098234458E0;-1,623716736E1;-4,196164703E1;-9,455291748E0;4,597638489E1
2,108276458E0;-1,635563660E1;-4,185535431E1;-9,564178467E0;4,594399898E1
2,118318458E0;-1,641998291E1;-4,207331848E1;-9,415222168E0;4,613487158E1
2,128360458E0;-1,623602295E1;-4,199292755E1;-9,367980957E0;4,598666625E1
2,138401458E0;-1,649467468E1;-4,205123901E1;-9,168579102E0;4,609168947E1
2,148443458E0;-1,642044067E1;-4,217058563E1;-9,120941162E0;4,616471306E1
2,158485458E0;-1,626844788E1;-4,210971069E1;-9,220245361E0;4,607497212E1
2,168527458E0;-1,648616028E1;-4,213314056E1;-8,885528564E0;4,610799966E1
2,178569458E0;-1,652131653E1;-4,216899872E1;-9,463256836E0;4,626804062E1
2,188610458E0;-1,656785583E1;-4,216916656E1;-9,463867188E0;4,628495693E1
2,198652458E0;-1,644767761E1;-4,230862427E1;-9,716583252E0;4,642152277E1
2,208694458E0;-1,627288818E1;-4,202592468E1;-9,349822998E0;4,602612764E1
2,218736458E0;-1,647985840E1;-4,202964020E1;-9,174499512E0;4,606786113E1
2,228778458E0;-1,656785583E1;-4,208963013E1;-9,672973633E0;4,625578050E1
2,238819458E0;-1,640734863E1;-4,184648895E1;-9,366088867E0;4,591354209E1
2,248861458E0;-1,629327393E1;-4,191181946E1;-9,717681885E0;4,600548583E1
2,258903458E0;-1,629234314E1;-4,194704437E1;-9,558807373E0;4,600397564E1
2,268945458E0;-1,620544434E1;-4,197756958E1;-9,410369873E0;4,597051049E1
2,278987458E0;-1,640521240E1;-4,187741852E1;-9,500335693E0;4,596852786E1
2,289028458E0;-1,637500000E1;-4,201380157E1;-9,662261963E0;4,611571808E1
2,299070458E0;-1,607531738E1;-4,199765015E1;-9,670227051E0;4,599708402E1
2,309112458E0;-1,608764648E1;-4,232350159E1;-9,938049316E0;4,635575455E1
2,319154458E0;-1,609634399E1;-4,215172577E1;-9,497131348E0;4,610917240E1
2,329196458E0;-1,607722473E1;-4,189083862E1;-9,660003662E0;4,589809567E1
2,339238458E0;-1,626254272E1;-4,195020294E1;-9,842620850E0;4,605612889E1
2,349279458E0;-1,608793640E1;-4,204199219E1;-9,849609375E0;4,607999142E1
2,359321458E0;-1,599916077E1;-4,197800446E1;-9,787200928E0;4,597733469E1
2,369363458E0;-1,605081177E1;-4,202008820E1;-9,701385498E0;4,601557618E1
2,379405458E0;-1,608526611E1;-4,207025146E1;-9,814544678E0;4,609736578E1
2,389447458E0;-1,593156433E1;-4,202773285E1;-9,717712402E0;4,598455181E1
2,399488458E0;-1,592689514E1;-4,203157043E1;-9,506286621E0;4,594222880E1
2,409530458E0;-1,601205444E1;-4,205883789E1;-9,762207031E0;4,605032484E1
2,419572458E0;-1,633428955E1;-4,178475189E1;-9,856170654E0;4,593385033E1
2,429614458E0;-1,626060486E1;-4,196029663E1;-1,018035889E1;4,613798295E1
2,439656458E0;-1,624914551E1;-4,177837372E1;-9,681243896E0;4,586059009E1
2,449697458E0;-1,616262817E1;-4,168640900E1;-1,002780151E1;4,582078183E1
2,459739458E0;-1,639358521E1;-4,160087585E1;-9,763000488E0;4,576787832E1
2,469781458E0;-1,641297913E1;-4,170732880E1;-9,672332764E0;4,585238467E1
2,479823458E0;-1,656689453E1;-4,170123291E1;-9,416534424E0;4,584894700E1
2,489865458E0;-1,661714172E1;-4,154396057E1;-9,152313232E0;4,567050357E1
2,499906458E0;-1,659538269E1;-4,165287781E1;-9,567962646E0;4,584664508E1
2,509948458E0;-1,664633179E1;-4,156562042E1;-9,869628906E0;4,584987173E1
2,519990458E0;-1,665528870E1;-4,154478455E1;-9,642272949E0;4,578581868E1
2,530032458E0;-1,697677612E1;-4,155991364E1;-9,899536133E0;4,597214553E1
2,540074458E0;-1,687223816E1;-4,164486694E1;-9,609802246E0;4,594905508E1
2,550115458E0;-1,702632141E1;-4,159605408E1;-9,780792236E0;4,599773073E1
2,560157458E0;-1,686936951E1;-4,188214111E1;-9,354492188E0;4,611069177E1
2,570199458E0;-1,677795410E1;-4,161355591E1;-9,003173828E0;4,576292078E1
2,580241458E0;-1,679940796E1;-4,202378082E1;-9,018829346E0;4,614712933E1
2,590283458E0;-1,696331787E1;-4,182489014E1;-9,084686279E0;4,603919105E1
2,600324458E0;-1,676148987E1;-4,167571259E1;-9,376220703E0;4,588819104E1
2,610366458E0;-1,685464478E1;-4,190965271E1;-9,158508301E0;4,609095698E1
2,620408458E0;-1,668222046E1;-4,155753326E1;-8,911285400E0;4,565890995E1
2,630450458E0;-1,645973206E1;-4,149712372E1;-8,970184326E0;4,553458315E1
2,640492458E0;-1,668081665E1;-4,128409576E1;-9,007202148E0;4,542858019E1
2,650533458E0;-1,692140198E1;-4,140766907E1;-9,230346680E0;4,567415245E1
